revid,prediction,B,C,FA,GA,Start,Stub
149484141,Stub,0.0339216685347755,0.0119742454930814,0.005499557597319927,0.0,0.23331150729526073,0.7152930210795623
172634100,Stub,0.025943344001704904,0.050597119684228996,0.0,0.0002976190476190476,0.380264804821934,0.5428971124445134
175377676,Start,0.1317352623602131,0.09895452148855804,0.00026488095238095237,0.00010775862068965517,0.681939579634418,0.08699799694373986
175987861,Stub,0.03374766151362288,0.010629792548710559,0.0,8.223684210526316e-05,0.2757713744653562,0.6797689346302049
239287344,Start,0.038507792507322516,0.08652625597562766,0.0,0.0001488095238095238,0.6634012334640554,0.21141590852918507
239621463,Stub,0.03466119082970153,0.011559852072520083,0.0,8.223684210526316e-05,0.27746446913408374,0.6762322511215894
251051168,Stub,0.02890841826998496,0.011048011188868768,0.006038330575111562,0.0,0.25077188539901507,0.70323335456702
251943918,C,0.04375845417008477,0.5283313900526666,0.0012844611528822054,0.007139254385964915,0.29830405003344523,0.12118239020495632
259552420,Start,0.028328632900473678,0.08945604323302565,0.0,0.0001201923076923077,0.6467902927212383,0.23530483883756975
306276198,C,0.04309074902076642,0.5620755064828931,0.0012844611528822054,0.005269440172400699,0.27134172010128155,0.11693812306977613
313703549,Stub,0.03942177691599559,0.02049079883380934,0.0,0.0009861647855068907,0.2726386713605933,0.6664625881040946
314781949,Stub,0.02243244899495002,0.013448393921013005,0.005714423029405236,0.0,0.25303231845387314,0.7053724156007591
321159992,Stub,0.01614884965497581,0.06405504257338676,0.0,1.1927480916030534e-05,0.40783350353237013,0.5119506767583513
329865924,Stub,0.0027935726743312564,0.002724227269348099,0.0,0.0002840909090909091,0.09178031945692064,0.9024177896903092
33403432,Stub,0.03214329582418796,0.00985923743924892,0.005505556841707955,0.0,0.11238822094638139,0.8401036889484741
359496891,C,0.025281511491851306,0.42981539328224033,0.0,0.0027260028413279187,0.3443331365805864,0.1978439558039946
371145146,Stub,0.035303895257375685,0.06455221705053757,0.003304702089169001,0.006496239509609832,0.4029918339811248,0.48735111211218296
396306013,Stub,0.026647706678948606,0.017814398823266773,0.010184224181155962,0.0,0.26814730990688534,0.6772063604097435
402756793,Stub,0.010019114270801032,0.009330308999926004,0.0,0.0014005005411255411,0.20878501481778283,0.7704650613703647
404155773,Stub,0.04550031545693859,0.017803129104334493,0.0,0.0009980922664229214,0.28554208423758587,0.650156378934718
440030758,Stub,0.00596624975605564,0.009054255747814075,0.0,0.0005445075757575758,0.11741204115468296,0.8670229457656896
447095014,Stub,0.035303895257375685,0.06455221705053757,0.003304702089169001,0.006496239509609832,0.4029918339811248,0.48735111211218296
464859126,Stub,0.04550031545693859,0.017803129104334493,0.0,0.0009980922664229214,0.28554208423758587,0.650156378934718
522742492,Stub,0.019998201016021094,0.06386951832048295,0.0,0.00022865853658536584,0.4066563590760581,0.5092472630508527
524946765,Stub,0.029075278489546552,0.054547123170900616,0.0001358695652173913,0.00260579971123218,0.4387173166712973,0.474918612391806
526087862,Stub,0.010544755281190062,0.012129900693008892,0.0001644736842105263,0.0016505005411255411,0.20586084202946275,0.7696495277710023
539387248,C,0.025281511491851306,0.42981539328224033,0.0,0.0027260028413279187,0.3443331365805864,0.1978439558039946
544247231,Stub,0.029104765283394236,0.026104573641464346,0.008225292578856163,0.0,0.23581192585173003,0.7007534426445552
546577129,Stub,0.035303895257375685,0.06455221705053757,0.003304702089169001,0.006496239509609832,0.4029918339811248,0.48735111211218296
560321500,Stub,0.019200888896605837,0.05404666356724276,0.0,0.0005411585365853658,0.38580814137610386,0.5404031476234621
572612587,Stub,0.030490876780144838,0.050492218421362714,0.000319693094629156,0.00260579971123218,0.4398991578108548,0.47619225418177635
582102029,Stub,0.009720559374757312,0.011119400958824948,0.0,0.0016505005411255411,0.20365325636876608,0.7738562827565262
612131380,Stub,0.030119217699846053,0.05596499390976321,0.000319693094629156,0.0024807997112321805,0.4432673701261452,0.46784792545838405
632229856,Stub,0.012526097202152359,0.011750481934683882,0.0001644736842105263,0.0016505005411255411,0.22654609523188696,0.7473623514059407
675813099,Start,0.1522152776923707,0.3055044523380047,0.0012880608974358975,0.027586250601786273,0.4651699348126451,0.048236023657757414
685371234,C,0.025358990830694282,0.42991869906736435,0.0,0.0027260028413279187,0.34193127707645415,0.20006503018415991
686603380,Stub,0.030460996542802692,0.0465456242055454,0.0,0.0005411585365853658,0.33034596482844913,0.5921062558866176
696281227,Stub,0.032759296238439393,0.06670234046217788,0.0027838687558356676,0.006852599158732639,0.41079105002609906,0.4801108453587154
696715498,Stub,0.011641675547992501,0.00961194683314327,0.0001644736842105263,0.0016505005411255411,0.22343602214617073,0.7534953812473575
713048472,Start,0.03532937116391264,0.047137903861787636,0.0002717391304347826,0.0020398446958528227,0.48552321359203676,0.42969792755597513
74811533,Stub,0.03220792002086251,0.010541108317756722,0.004021971174081331,0.0,0.22505097561854837,0.728178024868751
92464960,Stub,0.01176533652219946,0.0017399027374165397,0.00011160714285714285,1.893939393939394e-05,0.12441631911679277,0.8619478950867949
149324396,Stub,0.0012950432239995234,0.00195562900234478,7.687447674026479e-05,0.0,0.0024090771811702935,0.9942633761157452
162237172,Stub,0.005582460365445283,0.0007451845935104584,1.023471615720524e-05,0.0,0.01900746891732719,0.97465465140756
169345952,GA,0.243277622211441,0.27629165484957147,0.015344141456346373,0.3844716000649311,0.07824713365370725,0.002367847764002483
229433949,Stub,0.00224574847082828,0.001330490703121748,7.687447674026479e-05,0.0,0.0033025477394692795,0.9930443386098403
244109755,Start,0.0004257873847397801,0.0033122718512129342,0.0,0.0,0.6371588339243152,0.3591031068397318
